# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.initBridges.ms,1774241936570000000,1774241996570000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1774241936570000000,1774241996570000000,3
Indexing.writer_2.totalTimeSpentWritingMs,1774241936570000000,1774241996570000000,4936
Indexes.allKeys.lookupDurationAvgMs,1774241936570000000,1774241996570000000,0.0
Indexes.entries.lookupDurationAvgMs,1774241936570000000,1774241996570000000,6.5
Indexing.cache.totalCacheMisses,1774241936570000000,1774241996570000000,1344878
Indexes.stubs.lookupDurationMaxMs,1774241936570000000,1774241996570000000,0.0
Indexes.allKeys.lookups,1774241936570000000,1774241996570000000,0
Indexes.stubs.lookupDuration90PMs,1774241936570000000,1774241996570000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1774241936570000000,1774241996570000000,0.0
Indexes.allKeys.lookupDuration90PMs,1774241936570000000,1774241996570000000,0.0
Indexing.writesQueuedMin,1774241936570000000,1774241996570000000,0
Indexes.stubs.lookupDurationAvgMs,1774241936570000000,1774241996570000000,0.0
Indexes.entries.lookupDuration90PMs,1774241936570000000,1774241996570000000,12.0
Indexing.cache.totalCacheEvicted,1774241936570000000,1774241996570000000,1344878
Indexing.writer_3.totalTimeSpentWritingMs,1774241936570000000,1774241996570000000,4005
Indexes.entries.lookupDurationMaxMs,1774241936570000000,1774241996570000000,12.0
Indexes.entries.lookups,1774241936570000000,1774241996570000000,2
Indexing.writesQueuedAvg,1774241936570000000,1774241996570000000,109.00909090909092
Indexes.stubs.lookups,1774241936570000000,1774241996570000000,0
Indexing.totalTimeIndexersSleptMs,1774241936570000000,1774241996570000000,18396
Indexing.writer_0.totalTimeSpentWritingMs,1774241936570000000,1774241996570000000,4980
Indexing.writesQueuedMax,1774241936570000000,1774241996570000000,1895
Indexing.writer_1.totalTimeSpentWritingMs,1774241936570000000,1774241996570000000,221
Indexing.cache.totalCacheAccesses,1774241936570000000,1774241996570000000,4125513
jps.apply.loaded.storage.ms,1774241936570000000,1774241996570000000,962
workspaceModel.moduleManagerBridge.newModule.ms,1774241936570000000,1774241996570000000,79
workspaceModel.moduleManagerBridge.get.modules.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1774241936570000000,1774241996570000000,24
jps.storage.jps.conf.reader.load.component.ms,1774241936570000000,1774241996570000000,1
jps.modifiable.module.model.bridge.disposing.ms,1774241936570000000,1774241996570000000,0
jps.facet.change.listener.before.change.events.ms,1774241936570000000,1774241996570000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1774241936570000000,1774241996570000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774241936570000000,1774241996570000000,5
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1774241936570000000,1774241996570000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1774241936570000000,1774241996570000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774241936570000000,1774241996570000000,4
workspaceModel.mutableEntityStorage.collect.changes.ms,1774241936570000000,1774241996570000000,0
jps.global.get.libraries.ms,1774241936570000000,1774241996570000000,1
workspaceModel.moduleBridge.update.option.ms,1774241936570000000,1774241996570000000,0
jps.artifact.entities.serializer.load.entities.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1774241936570000000,1774241996570000000,0
jps.global.initialize.library.bridges.after.loading.ms,1774241936570000000,1774241996570000000,1
jps.modifiable.module.model.bridge.new.module.ms,1774241936570000000,1774241996570000000,36
jps.project.serializers.load.ms,1774241936570000000,1774241996570000000,5
jps.app.storage.content.reader.load.component.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774241936570000000,1774241996570000000,2
jps.load.project.to.empty.storage.ms,1774241936570000000,1774241996570000000,46
workspaceModel.mutableEntityStorage.modify.entity.ms,1774241936570000000,1774241996570000000,14
workspaceModel.save.cache.to.file.ms,1774241936570000000,1774241996570000000,91
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.instances.count,1774241936570000000,1774241996570000000,48
jps.library.entities.serializer.load.entities.ms,1774241936570000000,1774241996570000000,0
jps.artifact.entities.serializer.save.entities.ms,1774241936570000000,1774241996570000000,0
jps.global.handle.before.change.events.ms,1774241936570000000,1774241996570000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774241936570000000,1774241996570000000,0
